iter	Passed	Remaining
0	1	1051
1	1	947
2	2	934
3	3	921
4	4	902
5	5	837
6	5	792
7	6	790
8	7	785
9	7	783
10	8	794
11	9	797
12	10	795
13	11	793
14	12	797
15	13	800
16	13	801
17	14	805
18	15	805
19	16	795
20	17	800
21	18	802
22	18	803
23	19	804
24	20	802
25	21	800
26	21	789
27	22	794
28	23	794
29	24	793
30	25	791
31	26	789
32	26	789
33	27	785
34	28	782
35	29	782
36	29	778
37	30	779
38	31	783
39	32	782
40	33	781
41	34	780
42	35	780
43	35	780
44	36	778
45	37	778
46	38	774
47	39	773
48	39	775
49	40	769
50	40	762
51	41	761
52	42	761
53	43	756
54	43	755
55	44	755
56	45	756
57	46	755
58	47	755
59	48	754
60	48	753
61	49	753
62	50	754
63	51	754
64	52	754
65	53	753
66	54	752
67	54	751
68	55	750
69	56	749
70	57	749
71	58	748
72	58	745
73	59	747
74	60	748
75	61	744
76	62	744
77	62	743
78	63	742
79	64	742
80	65	742
81	66	742
82	67	741
83	67	741
84	68	740
85	69	739
86	70	738
87	71	737
88	71	736
89	72	736
90	73	736
91	75	742
92	76	742
93	76	741
94	77	740
95	78	738
96	79	737
97	80	738
98	81	743
99	82	742
100	83	741
101	84	741
102	84	740
103	85	739
104	86	737
105	87	736
106	88	735
107	88	734
108	89	733
109	90	733
110	91	732
111	92	731
112	93	731
113	93	730
114	94	729
115	95	728
116	96	727
117	97	727
118	98	726
119	98	725
120	99	724
121	100	723
122	101	723
123	102	723
124	102	720
125	103	719
126	104	720
127	105	719
128	106	721
129	107	720
130	108	719
131	109	718
132	110	717
133	110	717
134	111	716
135	112	715
136	113	714
137	114	713
138	115	712
139	115	712
140	116	711
141	117	710
142	118	709
143	119	709
144	120	709
145	121	708
146	121	707
147	122	706
148	123	705
149	124	704
150	125	703
151	125	702
152	126	701
153	127	700
154	128	698
155	128	697
156	129	696
157	130	695
158	131	693
159	132	693
160	132	692
161	133	692
162	134	691
163	135	691
164	136	690
165	136	688
166	137	687
167	138	686
168	139	685
169	140	686
170	141	685
171	142	684
172	142	683
173	143	682
174	144	681
175	145	680
176	146	680
177	147	679
178	147	678
179	148	678
180	149	677
181	150	676
182	151	675
183	152	674
184	152	673
185	153	672
186	154	670
187	155	669
188	155	669
189	156	668
190	157	667
191	158	666
192	159	664
193	159	663
194	160	662
195	161	661
196	162	661
197	163	661
198	164	660
199	164	659
200	165	658
201	166	658
202	167	656
203	168	655
204	168	654
205	169	653
206	170	653
207	171	652
208	172	651
209	173	651
210	173	650
211	174	649
212	175	648
213	176	647
214	177	647
215	178	646
216	179	645
217	179	645
218	180	644
219	181	644
220	182	643
221	183	642
222	184	641
223	184	640
224	185	639
225	186	637
226	186	636
227	187	635
228	188	635
229	189	634
230	190	632
231	190	632
232	191	631
233	192	630
234	193	630
235	194	629
236	195	628
237	195	627
238	196	626
239	197	625
240	198	625
241	199	625
242	200	624
243	201	624
244	202	623
245	203	622
246	203	621
247	204	620
248	205	619
249	206	619
250	207	618
251	208	617
252	209	617
253	209	616
254	210	615
255	211	614
256	212	614
257	213	613
258	214	612
259	215	612
260	215	611
261	216	610
262	217	610
263	218	609
264	219	608
265	220	607
266	221	606
267	222	606
268	222	605
269	223	604
270	224	604
271	225	603
272	226	602
273	227	601
274	227	601
275	228	600
276	229	599
277	230	598
278	231	598
279	232	597
280	233	596
281	233	595
282	234	594
283	235	594
284	236	593
285	237	592
286	238	591
287	238	590
288	239	589
289	240	588
290	241	587
291	242	587
292	243	586
293	243	585
294	244	584
295	245	583
296	246	583
297	247	582
298	247	581
299	248	580
300	249	579
301	250	578
302	250	576
303	251	576
304	252	575
305	253	574
306	254	573
307	254	572
308	255	571
309	256	570
310	257	569
311	258	569
312	259	569
313	260	568
314	260	567
315	261	566
316	262	565
317	263	565
318	264	564
319	265	563
320	266	562
321	266	562
322	267	561
323	268	560
324	269	559
325	270	558
326	271	558
327	271	557
328	272	556
329	273	555
330	274	554
331	275	553
332	276	553
333	277	552
334	277	551
335	278	550
336	279	549
337	280	549
338	281	548
339	282	547
340	282	546
341	283	546
342	284	544
343	285	543
344	286	543
345	286	542
346	287	541
347	288	540
348	289	539
349	290	538
350	290	537
351	291	537
352	292	536
353	293	535
354	294	534
355	295	534
356	296	533
357	297	532
358	297	531
359	298	531
360	299	530
361	300	529
362	301	528
363	302	527
364	302	526
365	303	526
366	304	525
367	305	525
368	306	524
369	307	524
370	308	523
371	309	522
372	310	521
373	311	520
374	311	519
375	312	518
376	313	518
377	314	517
378	315	516
379	316	516
380	317	515
381	317	514
382	318	513
383	319	512
384	320	511
385	321	510
386	321	509
387	322	509
388	323	508
389	324	507
390	325	506
391	326	505
392	326	504
393	327	504
394	328	503
395	329	502
396	330	501
397	331	500
